annee,population
500,5000000
600,5000000
700,6000000
800,8000000
900,6000000
1000,6500000
1100,10000000
1200,12000000
1226,16000000
1300,17000000
1340,20000000
1350,12000000
1400,10000000
1450,12000000
1500,15000000
1550,18000000
1600,18500000
1650,18000000
1700,21500000
1750,24500000
1760,25000000
1770,26000000
1780,27000000
1789,28000000
1800,29000000
1810,30000000
1820,31000000
1830,32500000
1840,34200000
1850,35800000
1860,37400000
1870,36100000
1880,37700000
1890,38300000
1900,38900000
1910,39600000
1920,39000000
1930,41500000
1940,41300000
1946,40500000
1950,41700000
1960,45700000
1970,50800000
1980,53900000
1990,56700000
2000,59000000
2010,62800000
2020,67400000
